club,player,url
Getafe CF,Yellu Santiago,https://en.soccerwiki.org/player.php?pid=137023
Getafe CF,Christantus Uche,https://en.soccerwiki.org/player.php?pid=147507
Getafe CF,Alberto Risco,https://en.soccerwiki.org/player.php?pid=149230
Girona FC,Daley Blind,https://en.soccerwiki.org/player.php?pid=36680
Girona FC,Oriol Romeu,https://en.soccerwiki.org/player.php?pid=45024
Girona FC,López Juanpe,https://en.soccerwiki.org/player.php?pid=45831
Girona FC,David López,https://en.soccerwiki.org/player.php?pid=46788
Girona FC,Juan Carlos,https://en.soccerwiki.org/player.php?pid=51845
Girona FC,Manzanera Portu,https://en.soccerwiki.org/player.php?pid=53358
Girona FC,Paulo Gazzaniga,https://en.soccerwiki.org/player.php?pid=56426
Girona FC,Donny van de Beek,https://en.soccerwiki.org/player.php?pid=80069
Girona FC,Arthur Melo,https://en.soccerwiki.org/player.php?pid=82329
Girona FC,Yangel Herrera,https://en.soccerwiki.org/player.php?pid=86950
Girona FC,Viktor Tsygankov,https://en.soccerwiki.org/player.php?pid=87993
Girona FC,Ladislav Krejcí,https://en.soccerwiki.org/player.php?pid=88091
Girona FC,Abel Ruíz,https://en.soccerwiki.org/player.php?pid=88451
Girona FC,Arnaut Danjuma,https://en.soccerwiki.org/player.php?pid=89684
Girona FC,Bojan Miovski,https://en.soccerwiki.org/player.php?pid=98133
Girona FC,Bryan Gil,https://en.soccerwiki.org/player.php?pid=99673
Girona FC,Miguel Gutiérrez,https://en.soccerwiki.org/player.php?pid=104529
Girona FC,Alejandro Francés,https://en.soccerwiki.org/player.php?pid=105459
Girona FC,Iván Martín,https://en.soccerwiki.org/player.php?pid=109625
Girona FC,Arnau Martínez,https://en.soccerwiki.org/player.php?pid=112568
Girona FC,Yáser Asprilla,https://en.soccerwiki.org/player.php?pid=115809
Girona FC,Gabriel Misehouy,https://en.soccerwiki.org/player.php?pid=118921
Girona FC,Jhon Solís,https://en.soccerwiki.org/player.php?pid=121042
Girona FC,Min-Su Kim,https://en.soccerwiki.org/player.php?pid=154621
Girona FC,Papa Ba,https://en.soccerwiki.org/player.php?pid=154622
Girona FC,Valery Fernández,https://en.soccerwiki.org/player.php?pid=99859
Girona FC,Ibrahima Kébé,https://en.soccerwiki.org/player.php?pid=108729
Girona FC,Toni Fuidias,https://en.soccerwiki.org/player.php?pid=110458
Girona FC,Dawda Camara,https://en.soccerwiki.org/player.php?pid=117138
Girona FC,Ricard Artero,https://en.soccerwiki.org/player.php?pid=117140
Girona FC,Hugo Anglada,https://en.soccerwiki.org/player.php?pid=117176
Girona FC,Joel Roca,https://en.soccerwiki.org/player.php?pid=125039
Girona FC,Biel Farrés,https://en.soccerwiki.org/player.php?pid=132529
Girona FC,Juan Arango,https://en.soccerwiki.org/player.php?pid=137405
Girona FC,Ilyas Chaira,https://en.soccerwiki.org/player.php?pid=137656
Girona FC,Jastin García,https://en.soccerwiki.org/player.php?pid=138292
Girona FC,Silvi Clúa,https://en.soccerwiki.org/player.php?pid=139519
Girona FC,Mohammed Hamony,https://en.soccerwiki.org/player.php?pid=141970
Girona FC,Antal Yaakobishvili,https://en.soccerwiki.org/player.php?pid=143132
Girona FC,Nil Calderó,https://en.soccerwiki.org/player.php?pid=144498
Girona FC,Enric García,https://en.soccerwiki.org/player.php?pid=144942
Girona FC,Aleksandar Andreev,https://en.soccerwiki.org/player.php?pid=150237
Girona FC,Vladyslav Krapyvtsov,https://en.soccerwiki.org/player.php?pid=151249
Girona FC,Lass Kourouma,https://en.soccerwiki.org/player.php?pid=153887
Girona FC,Lucas García,https://en.soccerwiki.org/player.php?pid=154620
Girona FC,Ferran Ruiz,https://en.soccerwiki.org/player.php?pid=154959
Girona FC,Pau Funallet,https://en.soccerwiki.org/player.php?pid=155307
Girona FC,Marc Aznar,https://en.soccerwiki.org/player.php?pid=155308
Girona FC,Oriol Comas,https://en.soccerwiki.org/player.php?pid=158329
Girona FC,Raúl Martínez,https://en.soccerwiki.org/player.php?pid=158330
Rayo Vallecano,Florian Lejeune,https://en.soccerwiki.org/player.php?pid=46237
Rayo Vallecano,Iván Balliu,https://en.soccerwiki.org/player.php?pid=52236
Rayo Vallecano,Aridane Hernández,https://en.soccerwiki.org/player.php?pid=54165
Rayo Vallecano,Raúl de Tomás,https://en.soccerwiki.org/player.php?pid=64318
Rayo Vallecano,Álvaro García,https://en.soccerwiki.org/player.php?pid=67144
Rayo Vallecano,Unai López,https://en.soccerwiki.org/player.php?pid=68648
Rayo Vallecano,Adri Embarba,https://en.soccerwiki.org/player.php?pid=73714
Rayo Vallecano,Gerard Gumbau,https://en.soccerwiki.org/player.php?pid=75015
Rayo Vallecano,Alfonso Espino,https://en.soccerwiki.org/player.php?pid=75562
Rayo Vallecano,Augusto Batalla,https://en.soccerwiki.org/player.php?pid=79606
Rayo Vallecano,Sergi Guardiola,https://en.soccerwiki.org/player.php?pid=81649
Rayo Vallecano,Isi Palazón,https://en.soccerwiki.org/player.php?pid=83503
Rayo Vallecano,Joni Montiel,https://en.soccerwiki.org/player.php?pid=86497
Rayo Vallecano,Abdul Mumin,https://en.soccerwiki.org/player.php?pid=88414
Rayo Vallecano,Pedro Díaz,https://en.soccerwiki.org/player.php?pid=89036
Rayo Vallecano,Jorge de Frutos,https://en.soccerwiki.org/player.php?pid=97414
Rayo Vallecano,Óscar Valentín,https://en.soccerwiki.org/player.php?pid=98446
Rayo Vallecano,Sergio Camello,https://en.soccerwiki.org/player.php?pid=100280
Rayo Vallecano,Pathé Ciss,https://en.soccerwiki.org/player.php?pid=102389
Rayo Vallecano,Randy Nteka,https://en.soccerwiki.org/player.php?pid=104053
Rayo Vallecano,Pep Chavarría,https://en.soccerwiki.org/player.php?pid=104930
Rayo Vallecano,Dani Cárdenas,https://en.soccerwiki.org/player.php?pid=105443
Rayo Vallecano,Andrei Rațiu,https://en.soccerwiki.org/player.php?pid=105691
Rayo Vallecano,Pelayo Fernández,https://en.soccerwiki.org/player.php?pid=129144
RCD Espanyol,Sergi Gómez,https://en.soccerwiki.org/player.php?pid=45009
RCD Espanyol,Fernando Pacheco,https://en.soccerwiki.org/player.php?pid=54718
RCD Espanyol,Pere Milla,https://en.soccerwiki.org/player.php?pid=69815
RCD Espanyol,Brian Oliván,https://en.soccerwiki.org/player.php?pid=78060
RCD Espanyol,Álvaro Tejero,https://en.soccerwiki.org/player.php?pid=82268
RCD Espanyol,Fernando Calero,https://en.soccerwiki.org/player.php?pid=88838
RCD Espanyol,Edu Expósito,https://en.soccerwiki.org/player.php?pid=90943
RCD Espanyol,Marash Kumbulla,https://en.soccerwiki.org/player.php?pid=93937
RCD Espanyol,Alex Král,https://en.soccerwiki.org/player.php?pid=94819
RCD Espanyol,Álvaro Aguado,https://en.soccerwiki.org/player.php?pid=98441
RCD Espanyol,Javi Puado,https://en.soccerwiki.org/player.php?pid=99638
RCD Espanyol,Pol Lozano,https://en.soccerwiki.org/player.php?pid=101455
RCD Espanyol,Pablo Ramón,https://en.soccerwiki.org/player.php?pid=104485
RCD Espanyol,José Gragera,https://en.soccerwiki.org/player.php?pid=105472
RCD Espanyol,Urko González de Zarate,https://en.soccerwiki.org/player.php?pid=108763
RCD Espanyol,Omar el Hilali,https://en.soccerwiki.org/player.php?pid=111008
RCD Espanyol,Alejo Veliz,https://en.soccerwiki.org/player.php?pid=115355
RCD Espanyol,Justin Smith,https://en.soccerwiki.org/player.php?pid=117166
RCD Espanyol,Roberto Fernández,https://en.soccerwiki.org/player.php?pid=117953
RCD Espanyol,Joan García,https://en.soccerwiki.org/player.php?pid=118586
RCD Espanyol,Jofre Carreras,https://en.soccerwiki.org/player.php?pid=119539
RCD Espanyol,Walid Cheddira,https://en.soccerwiki.org/player.php?pid=119615
RCD Espanyol,Ángel Fortuño,https://en.soccerwiki.org/player.php?pid=123574
RCD Espanyol,Carlos Romero,https://en.soccerwiki.org/player.php?pid=130178
RCD Espanyol,Omar Sadik,https://en.soccerwiki.org/player.php?pid=136911
RCD Espanyol,Antoniu Roca,https://en.soccerwiki.org/player.php?pid=141075
RCD Espanyol,Roger Martínez,https://en.soccerwiki.org/player.php?pid=118587
RCD Espanyol,Rubén Sánchez,https://en.soccerwiki.org/player.php?pid=119533
RCD Espanyol,Marc Jurado,https://en.soccerwiki.org/player.php?pid=120340
RCD Espanyol,José Luis Català,https://en.soccerwiki.org/player.php?pid=141990
RCD Espanyol,Marcos Fernández,https://en.soccerwiki.org/player.php?pid=144947
RCD Espanyol,Ian Forns,https://en.soccerwiki.org/player.php?pid=145955
RCD Espanyol,Gastón Valles,https://en.soccerwiki.org/player.php?pid=145956
RCD Espanyol,Rafel Bauzà,https://en.soccerwiki.org/player.php?pid=149509
RCD Espanyol,Kenneth Soler,https://en.soccerwiki.org/player.php?pid=149657
RCD Espanyol,Javi Hernández,https://en.soccerwiki.org/player.php?pid=151594
RCD Espanyol,Llorenç Serred,https://en.soccerwiki.org/player.php?pid=154623
RCD Mallorca,Dani Rodríguez,https://en.soccerwiki.org/player.php?pid=47292
RCD Mallorca,Abdón Prats,https://en.soccerwiki.org/player.php?pid=53052
RCD Mallorca,Omar Mascarell,https://en.soccerwiki.org/player.php?pid=54204
RCD Mallorca,Antonio Raíllo,https://en.soccerwiki.org/player.php?pid=58431
RCD Mallorca,Johan Mojica,https://en.soccerwiki.org/player.php?pid=67205
